"Govt Pub Number",Title,Format,"Office or Center",Program/Campaign,"Publication Date","Item Owner","Available Qty","Allocated Qty","On Hand Qty","Max Order Qty","Published Status","Stock Status","Display Mode",Pallets,"Location of Product"
SMA15-4420,"Trauma-Informed Care in Behavioral Health Services","Guidelines or Manual",,,"10/01/2015 - 08:00",,230,0,230,50,Published,"ELECTRONIC ONLY","Download Only",0,"Pick Area"
SMA15-4426,"TIP 51: Substance Abuse Treatment: Addressing the Specific Needs of Women","Guidelines or Manual",,,"11/01/2015 - 07:00",,15912,27,15939,25,Published,"IN STOCK",External,21.5,"A-13A, A-13A, B-10B, B-11A, B-11B, B-12A, B-12B, B-13A, B-14B, B-15B, B-16B, B-17B, B-18A, B-18B, B-3B, B-4B, B-5A, B-5B, B-6A, B-6B, B-7B, B-8B, B-9B, Pick Area"
SMA15-4442,"The Facts about Buprenorphine for Treatment of Opioid Addiction",Brochure,,,"08/01/2015 - 08:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4442SPANISH,"The Facts About Buprenorphine for Treatment of Opioid Addiction (Spanish version)",Brochure,,,"03/01/2011 - 07:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4584,"Talking with Your Adult Patients about Alcohol, Drug, and/or Mental Health Problems","Guidelines or Manual",,,"08/01/2010 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4585,"Should You Talk to Someone About a Drug, Alcohol, or Mental Health Problem?",Brochure,,,"10/01/2015 - 08:00",,11357,0,11357,25,Published,"IN STOCK",External,0.51,"D-31B, Pick Area, Pick Area"
SMA15-4731,"Should You Talk to Someone About a Drug, Alcohol or Mental Health Problem? (Spanish version)",Brochure,,,"10/01/2015 - 08:00",,292566,0,292566,100,Published,"IN STOCK",External,3,"A-27B, D-29A, D-40B, Pick Area"
SMA15-4734,"TIP 55: Behavioral Health Services for People Who Are Homeless","Guidelines or Manual",,,"11/01/2015 - 07:00",,6276,14,6290,5,Published,"IN STOCK",External,6,"A-19A, A-19B, A-20B, A-21B, A-22A, A-22B, Pick Area"
SMA15-4755-AnnualReport,"2015 ""Talk.  They Hear You."" Annual Report",,,,"06/28/2019 - 08:00",,50,0,50,1,"Not Published","IN STOCK",External,0,
SMA15-4755-ANNUALRPT,"Talk. They Hear You: National Media Campaign for the Prevention of Underage Drinking - Annual Report",Report,,,"06/01/2015 - 08:00",,0,0,0,1,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4755-HIGHLIGHTS,"2015 ""Talk. They Hear You."" Annual Report Blow Ins",,,,"06/17/2019 - 08:00",,366,0,366,1,"Not Published","IN STOCK",External,0,
SMA15-4782ENG,"Motivation for Change: John's Story-Consequences of His Heavy Drinking and His Recovery","Comic Book",,,"02/01/2015 - 07:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4783,"You Can Manage Your Chronic Pain To Live a Good Life: A Guide for People in Recovery from Mental Illness or Addiction",Brochure,,,"06/01/2014 - 08:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4784,"Family Therapy Can Help: For People in Recovery From Mental Illness or Addiction",Brochure,,,"10/01/2013 - 08:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4849,"TIP 59: Improving Cultural Competence","Guidelines or Manual",,,"11/01/2015 - 07:00",,36720,17,36737,1,Published,"IN STOCK",External,43.5,"B-19A, B-19B, B-20B, B-21A, B-21B, B-22A, B-22B, B-23A, B-23B, B-24A, B-24B, B-25B, B-26A, B-26B, B-27A, B-27B, B-28A, B-28B, B-29A, B-29B, B-30A, B-30B, B-31A, B-31B, B-32A, B-32B, B-33A, B-33B, B-34A, B-34B, B-35A, B-35B, B-36A, B-36B, B-37B, B-38B, B-39A, B-39B, B-40A, B-40B, B-41A, B-41B, B-42A, B-42B, Pick Area"
SMA15-4878SPANISH,"Depression in Mothers: More Than the Blues--A Tool Kit for Family Service Providers (Spanish Version)",Kit,,,"08/01/2016 - 08:00",,379,0,379,1,Published,"IN STOCK",External,0,"Pick Area"
SMA15-4895,"Behavioral Health Barometer, 2014",Report,,,"01/01/2015 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4895EQ,"Behavioral Health Equity Barometer, 2014",Report,,,"04/01/2015 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4906,"Racial/Ethnic Differences in Mental Health Service Use  among Adults","Chart Book",,,"07/01/2015 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4907,"Medication for the Treatment of Alcohol Use Disorder: A Brief Guide","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4907POCKETGUID,"Medication for the Treatment of Alcohol Use Disorder: Pocket Guide","Guidelines or Manual",,,"10/01/2015 - 08:00",,11890,0,11890,5,Published,"IN STOCK",External,2,"A-25A, A-25B, Pick Area"
SMA15-4908,"Analyses of MAX Claims: SAMHSA Fee-for-Service Spending Estimates, Medicare-Medicaid Enrollee Analysis, and Managed Care Summary",Report,,,"05/01/2015 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4910KOR,"The Facts about Buprenorphine for Treatment of Opioid Addiction (Korean Version)",Brochure,,,"12/01/2015 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4912,"Trauma-Informed Care in Behavioral Health Services: Quick Guide for Clinicians Based on TIP 57","Guidelines or Manual",,,"07/01/2015 - 08:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4917,"Advisory: Hepatitis C Screening in the Behavioral Healthcare Setting",Advisory,,,"09/01/2015 - 08:00",,22570,0,22570,25,Published,"IN STOCK",External,2,"B-1B, D-17B, Pick Area"
SMA15-4921,"Advisory: Complementary Health Approaches",Advisory,,,"11/01/2015 - 07:00",,18071,0,18071,25,Published,"IN STOCK",External,1,"C-15A, Pick Area"
SMA15-4923,"Understanding Child Trauma",,,,"05/01/2016 - 08:00",,0,0,0,200,"Not Published","OUT OF STOCK",External,0.5,A-24A
SMA15-4923SP,"Entendamos el trauma infantil (Understanding Child Trauma)",Brochure,,,"06/19/2018 - 08:00",,2584,0,2584,100,Published,"IN STOCK",External,0,"Pick Area"
SMA15-4924,"TIP 60: Using Technology-Based Therapeutic Tools in Behavioral Health Services","Guidelines or Manual",,,"11/01/2015 - 07:00",,0,0,0,36,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4925,"Advisory: Adults With Attention Deficit Hyperactivity Disorder and Substance Use Disorders",Advisory,,,"11/01/2015 - 07:00",,0,0,0,25,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4927,"Results from the 2014 National Survey on Drug Use and Health: Summary of National Findings","Series Report",,,"09/01/2015 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4928,"Ending Conversion Therapy: Supporting and Affirming LGBTQ Youth",Report,,,"10/01/2015 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4929,"Municipal Courts: An Effective Tool for Diverting People with Mental and Substance Use Disorders from the Criminal Justice System",Report,,,"11/01/2015 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4930,"Screening and Assessment of Co-occurring Disorders in the Justice System",Report,,,"02/01/2016 - 07:00",,0,0,0,1,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA16-4442KHMER,"The Facts about Buprenorphine for Treatment of Opioid Addiction (Cambodian/Khmer Version)",Brochure,,,"04/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4474KHMER,"The Next Step Toward a Better Life (Khmer/Cambodian Version)",Brochure,,,"04/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4585KHMER,"Should You Talk to Someone About a Drug, Alcohol, or Mental Health Problem? (Cambodian/Khmer Version)",Brochure,,,"04/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4892PG,"Medication-Assisted Treatment of Opioid Use Disorder Pocket Guide",,,,"03/01/2016 - 07:00",,17213,0,17213,5,"Not Published","IN STOCK",External,4,"D-37B, D-38A, D-39B, D-40A, Pick Area"
SMA16-4923,"Understanding Child Trauma",Brochure,,,"05/17/2018 - 08:00",,0,0,0,100,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA16-4931,"Improving Cultural Competence","Guidelines or Manual",,,"04/01/2016 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA16-4932,"Improving Cultural Competence","Guidelines or Manual",,,"04/01/2016 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4933,"Improving Cultural Competence","Guidelines or Manual",,,"04/01/2016 - 08:00",,6763,6,6769,5,Published,"IN STOCK",External,1,"A-26B, Pick Area"
SMA16-4935,"In Brief: Substance Use and Suicide:","Resource Guide",,,"03/01/2016 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4937,"Parity of Mental Health and Substance Use Benefits with Other Benefits: Using Your Employer-Sponsored Health Plan to Cover Services","Resource Guide",,,"02/01/2016 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4938,"Advisory: Sublingual and Transmucosal Buprenorphine for Opioid Use Disorder: Review and Update",Advisory,,,"03/01/2016 - 07:00",,8175,0,8175,25,Published,"IN STOCK",External,1.01,"C-35B, Pick Area, Pick Area"
SMA16-4950,"What Individuals in Recovery Need to Know About Wellness","Campaign or Initiative",,,"04/01/2016 - 08:00",,0,0,0,100,Published,"OUT OF STOCK",External,0.01,"Pick Area, Pick Area"
SMA16-4950SPANISH,"What Individuals in Recovery Need to Know About Wellness (Spanish Version)","Campaign or Initiative",,,"08/01/2016 - 08:00",,0,0,0,500,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA16-4951,"What Health Providers and Organizations Need to Know About Wellness","Campaign or Initiative",,,"04/01/2016 - 08:00",,0,0,0,100,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA16-4951SPANISH,"What Health Providers and Organizations Need to Know About Wellness (Spanish Version)","Campaign or Initiative",,,"08/01/2016 - 08:00",,0,0,0,500,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA16-4952,"What You Need to Know About:  National Wellness Week","Campaign or Initiative",,,"04/01/2016 - 08:00",,1747,0,1747,100,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area"
SMA16-4952SPANISH,"What You Need to Know About: National Wellness Week (Spanish Version)","Campaign or Initiative",,,"08/01/2016 - 08:00",,5130,0,5130,500,Published,"IN STOCK",External,0,"Pick Area"
SMA16-4953,"Learn the Eight Dimensions of Wellness (Poster)","Campaign or Initiative",,,"04/01/2016 - 08:00",,0,0,0,100,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA16-4953SPANISH,"Learn the Eight Dimensions of Wellness (Spanish Version Poster)","Campaign or Initiative",,,"08/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4954,"SAMHSA's National Wellness Week Needs You","Campaign or Initiative",,,"04/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4954SPANISH,"SAMHSA's National Wellness Week Needs You (Spanish Version)","Campaign or Initiative",,,"08/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4955,"SAMHSA's Wellness Initiative: Wellness Community Power Point Presentation","Campaign or Initiative",,,"04/01/2016 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4955SPANISH,"SAMHSA's Wellness Initiative: Wellness Community Power Point Presentation (Spanish Version)","Campaign or Initiative",,,"08/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4956,"SAMHSA's Wellness Initiative: Wellness Week September 10-16, 2017","Campaign or Initiative",,,"09/01/2017 - 08:00",,3453,0,3453,100,Published,"IN STOCK",External,1,"C-9A, Pick Area"
SMA16-4956SPANISH,"SAMHSA's Wellness Initiative: Wellness Week September 11-17, 2016 (Spanish Version Poster)","Campaign or Initiative",,,"08/01/2016 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4957,"Promoting Wellness: A Guide to Community Action","Campaign or Initiative",,,"04/01/2016 - 08:00",,0,0,0,25,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4957SPANISH,"Promoting Wellness: A Guide to Community Action (Spanish Version)","Campaign or Initiative",,,"08/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4958,"Creating a Healthier Life:","Campaign or Initiative",,,"04/01/2016 - 08:00",,0,0,0,100,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA16-4958SPANISH,"Creating a Healthier Life: A Step-By-Step Guide to Wellness (Spanish Version)","Campaign or Initiative",,,"08/01/2016 - 08:00",,0,0,0,225,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA16-4959,"A Snapshot of Behavioral Health Issues for Asian American/Native Hawaiian/Pacific Islander Boys and Men: Jumpstarting an Overdue Conversation","Meeting Summary",,,"03/01/2016 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4960,"Advisory: An Introduction to Bipolar Disorder and Co-Occurring Substance Use Disorders",Advisory,,,"11/01/2016 - 08:00",,0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4966,"Take Action Against Hepatitis C: Education Session Guide","Guidelines or Manual",,,"10/01/2016 - 08:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA16-4969,"Preventing and Responding to Suicide Clusters in American Indian and Alaska Native Communities Report",Report,,,"08/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4970,"Suicide Prevention in Alaska Report",Report,,,"08/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4971,"Know Your Rights: Parity for Mental Health and Substance Use Disorder Benefits",Brochure,,,"06/01/2016 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4973,"In Brief: Chronic Substance Use and Cognitive Effects on the Brain: An Introduction","Resource Guide",,,"10/01/2016 - 08:00",,0,0,0,25,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4975,"Behavioral Health Spending and Use Accounts, 1986-2014",Report,,,"08/01/2016 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4977,"Advisory: Obsessive-Compulsive Disorder and Substance Use Disorders",Advisory,,,"11/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4978,"A Collaborative Approach to the Treatment of Pregnant Women with Opioid Use Disorders","Guidelines or Manual",,,"10/01/2016 - 08:00",,886,1,887,1,Published,"IN STOCK",External,1,"D-25A, Pick Area"
SMA16-4979,"Guidance Document for Supporting Women in Co-ed Settings","Guidelines or Manual",,,"09/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4982,"Growing Older: Providing Integrated Care for An Aging Population","Series Report",,,"10/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4983,"Approaches in Implementing the Mental Health Parity and Addiction Equity Act: Best Practices from the States",Report,,,"08/01/2016 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4984,"Key Substance Use and Mental Health Indicators in the United States: Results from the 2015 National Survey on Drug Use and Health","Series Report",,,"11/01/2016 - 08:00",,0,0,0,18,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4985,"The Substance Abuse and Mental Health Services Administration's (SAMHSA) Youth Engagement Guidance","Guidelines or Manual",,,"09/01/2016 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4989,"In Brief: Rural Behavioral Health:  Telehealth Challenges and Opportunities","Resource Guide",,,"11/01/2016 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4990,"Facing Addiction in America: The Surgeon General's Report on Alcohol, Drugs, and Health -  Executive Summary",Report,,,"11/01/2016 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",1,D-16B
SMA16-4991,"Facing Addiction in America: The Surgeon General's Report on Alcohol, Drugs, and Health - Full Report",Report,,,"11/01/2016 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",1,C-11A
SMA16-4992,"Consumer Guide To Disclosure Rights: Making The Most Of Your Mental Health and Substance Use Disorder Benefits","Guidelines or Manual",,,"10/01/2016 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4993,"Decisions in Recovery: Treatment for Opioid Use Disorders","Guidelines or Manual",,,"12/01/2016 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4994,"Gathering of Native Americans Fact Sheet","Fact Sheet",,,"12/01/2016 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4995,"Suicide Prevention in Indian Country","Fact Sheet",,,"12/01/2016 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4996,"Bullying Prevention in Indian Country","Fact Sheet",,,"12/01/2016 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4997,"In Brief: Prescription Drug Monitoring Programs: A Guide for Healthcare Providers","Resource Guide",,,"12/01/2016 - 07:00",,12071,0,12071,25,Published,"IN STOCK",External,2.01,"A-46B, A-46B, Pick Area, Pick Area"
SMA16-4998,"Guidelines for Successful Transition of People with Mental or Substance Use Disorders from Jail and Prison: Implementation Guide","Guidelines or Manual",,,"01/01/2017 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-4999,"The Case for Behavioral Health Screening in HIV Care Settings",Report,,,"11/01/2016 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5001,"Understanding Obsessive Compulsive Disorder Caregiver:","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5002,"Understanding Obsessive Compulsive Disorder Young Adults:","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5003,"Understanding Depression Caregiver:","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5004,"Understanding Depression Young Adults:","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5005,"Understanding A First Episode Of Psychosis Caregiver:","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5006,"Understanding A First Episode Of Psychosis Young Adult: Get the Facts","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5007,"Understanding Bipolar Disorder Caregiver:","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5008,"Understanding Bipolar Disorder Young Adult: Get the Facts","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5009,"Understanding Anxiety Disorders Caregiver: Get the Facts","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5010,"Understanding Anxiety Disorders Young Adult:","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5011,"Understanding Attention-Deficit/Hyperactivity Disorder Caregiver:","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5012,"Understanding Attention-Deficit/Hyperactivity Disorder Young Adult: Get the Facts","Fact Sheet",,,"05/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA16-5013,"Alcohol and Depression: Steve’s Path to a Better Life, a fotonovela is based on TIP 42, Substance Abuse Treatment for Persons With Co-Occurring Disorders","Comic Book",,,"03/01/2017 - 07:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA16-BARO-2015,"Behavioral Health Barometer, 2015",Report,,,"02/01/2016 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-3772,"Keeping Youth Drug Free","Guidelines or Manual",,,"09/01/2017 - 08:00",,0,0,0,500,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA17-4923,"Understanding Child Trauma (Spanish Version)",,,,"12/01/2017 - 07:00",,0,0,0,1,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA17-4923Spanish,"Wrong SKU - Understanding Child Trauma (Spanish Version)",,,,"12/01/2017 - 07:00",,0,0,0,1,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA17-5014,"Spotlight: Building Resilient and Trauma-Informed Communities – Introduction",Brochure,,,"02/01/2017 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5015,"Spotlight: Building Resilient and Trauma-Informed Communities – Philadelphia, PA: Public Health Partnerships for Trauma Transformation",Brochure,,,"02/01/2017 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5016,"Spotlight: Building Resilient and Trauma-Informed Communities – Kansas City, KS and MS: A Coalition in the Business of Compassion",Brochure,,,"02/01/2017 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5017,"Spotlight: Building Resilient and Trauma-Informed Communities –Worcester, MA: Healing Community by Sharing the Lived Experiences",Brochure,,,"02/01/2017 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5018,"Spotlight: Building Resilient and Trauma-Informed Communities – Tarpon Springs, FL: A Community Journey Towards Resilience",Brochure,,,"02/01/2017 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5019,"Spotlight: Building Resilient and Trauma-Informed Communities – San Francisco, CA: Aligning the Workforce to Create a Trauma-Informed System",Brochure,,,"02/01/2017 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5020,"Spotlight: Building Resilient and Trauma-Informed Communities – Walla Walla, WA: Mobilizing the Community for Resilience",Brochure,,,"02/01/2017 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5029,"Funding and Characteristics of Single State Agencies for Substance Abuse Services and State Mental Health Agencies, 2015",Report,,,"09/01/2017 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5032,"Advancing Best Practices in Behavioral Health for Asian American, Native Hawaiian, and Pacific Islander Boys and Men",Report,,,"05/01/2017 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5035,"Tips for Survivors: Coping With Grief After a Disaster or Traumatic Event","Fact Sheet",,,"12/01/2017 - 07:00",,12490,9,12499,10,Published,"IN STOCK",External,1.01,"D-37A, D-37A, Pick Area, Pick Area"
SMA17-5036,"Tips for Health Care Practitioners and Responders:","Fact Sheet",,,"12/01/2017 - 07:00",,1249,0,1249,10,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area"
SMA17-5044,"Key Substance Use and Mental Health Indicators in the United States: Results from the 2016 National Survey on Drug Use and Health","Series Report",,,"09/01/2017 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5047,"Tips for Survivors of a Disaster or Other Traumatic Event: Coping with Retraumatization",Brochure,,,"11/01/2017 - 08:00",,231,156,387,25,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area"
SMA17-5050,"Suicide Clusters within American Indian and Alaska Native Communities:","White Paper",,,"02/01/2017 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5051,"National Strategy for Suicide Prevention Implementation Assessment Report",Report,,,"12/01/2017 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-1,"Rx Pain Medications Know the Options, Get the Facts","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-10,"Rx Pain Medications, Know the Options, Get the Facts:","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-11,"Rx Pain Medications, Know the Options, Get the Facts:","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-12,"Rx Pain Medications, Know the Options, Get the Facts:",,,,"11/01/2017 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA17-5053-13,"Rx Pain Medications, Know the Options, Get the Facts:","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-2,"Rx Pain Medications, Know the Options, Get the Facts:","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-3,"Rx Pain Medications, Know the Options, Get the Facts:","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-4,"Rx Pain Medications, Know the Options, Get the Facts","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-5,"Rx Pain Medications, Know the Options, Get the Facts:","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-6,"Rx Pain Medications, Know the Options, Get the Facts:","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-7,"Rx Pain Medications, Know the Options, Get the Facts:","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-8,"Rx Pain Medications, Know the Options, Get the Facts:","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-5053-9,"Rx Pain Medications, Know the Options, Get the Facts:","Fact Sheet",,,"11/01/2017 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA17-BAROUS-16,"Behavioral Health Barometer, Volume 4",Report,,,"06/01/2017 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA18-4299,"Underage Drinking: Myths vs. Facts","Fact Sheet",,,"04/01/2018 - 08:00",,170351,2350,172701,500,Published,"IN STOCK",External,1.51,"B-1A, D-9B, Pick Area, Pick Area"
SMA18-4355ENG,"A Guide for Taking Care of Yourself After Your Treatment in the Emergency Department",Brochure,,,"06/01/2018 - 08:00",,0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
